phone_number, customer_name
06628734682,James Garcia
96007150721,Gertrude Greene
52074562324,Ronald Park
02124452546,Ruby Manning
42401080701,Thomas Simmons
00511222766,Esther Benson
05721187263,Leo Norman
83363989335,Scott Owens
03457739637,Betty Gomez
01914406600,Ola Montgomery
08411594284,Lura Hodges
56680023294,Marvin Wilson
68405249763,Cordelia Lloyd
09094312563,Rodney Lindsey
31881096657,Chad Ortega
86214790671,Blanche Little
74665480146,Jon Hart
21400438590,Matilda Hubbard
96853680593,Maude Bridges
08019207944,Lula Carson
96921247328,Rosie Gibbs
93241194258,Elmer Nash
29406610646,Abbie Summers
53318381188,Margaret Keller
79869192381,Susan Lyons
83099835274,Ricardo Hill
81198169002,Helena Vargas
69292778160,Sarah Morton
57501594364,Theresa Duncan
17372361293,Birdie Aguilar
17951704388,Brent Sutton
70869900876,Irene Sharp
94705205068,Hilda Vasquez
69293104310,Frank Bridges
54737433059,Beatrice Christensen
13062015019,Lawrence Blair
54925620860,Laura Hines
51651312156,Celia Sanchez
73953119242,Sophia Massey
22405636840,Ronald Palmer
12785224633,Ronnie Arnold
57654361106,Sara Rice
46735928985,Jerome Owens
59449648117,Gabriel Floyd
95052419480,Aaron Houston
66232560160,Celia Wilkerson
44601226119,Ina Pratt
78923307504,Sylvia Lane
94587030279,Shawn Logan
25065954507,Seth Barnett
72638271431,Ada Sutton
96763086935,Nelle Bradley
08991554837,Sadie Farmer
30396675045,Beatrice Maldonado
50813293759,Ralph Rodgers
11749941080,Craig Adams
62152016525,Randy Mann
27591229128,Christina Ballard
04040540802,Jerry Wood
05777106269,Jimmy Chambers
60569933277,Beulah Robbins
27630797992,Leroy Norton
22675061688,Theresa Peters
77495557441,Jean Alvarez
54002733764,Alex Lowe
94077116823,Philip Rogers
00564536170,Gavin Sutton
96551894404,Aiden Page
94029583211,Susan Guerrero
93533668165,Melvin Norman
29561685114,Bertha Hanson
94886702188,Sam Munoz
43092718247,Randall Nguyen
29629763200,Jared Peters
13681940326,Gordon Turner
21669663468,Lelia Hampton
84017924219,Sadie Ross
58698048278,Earl Gross
08225998439,Eula Lambert
08678887386,Kevin Stone
13010075008,Mayme Richards
05170707087,Myra Vega
19074917298,Gussie Munoz
53631161973,Oscar Mitchell
17654416662,Rachel Salazar
46258824224,Mae Anderson
92528363792,Lou White
40287946118,Cameron Owens
86866066468,Ellen Brooks
40166097500,Bettie King
55367586268,Aaron Bridges
63469584275,Christian Andrews
14110623031,Bobby Higgins
97525570032,Francis Owens
58920723414,Warren Rodriquez
71328614403,Cody McDonald
37627744775,Anne Johnston
01076641133,Marian Ortega
13267846874,Herman Kelly
40761041168,Andrew King
